char,x,y,width,height,char_idx_in_line,line_idx,page,word
n,-77.0,150,13.0,17,6,2,page_1_practice,in
 ,-64.0,150,13.0,17,7,2,page_1_practice,
t,-51.0,150,13.0,17,8,2,page_1_practice,the
h,-38.0,150,13.0,17,9,2,page_1_practice,the
e,-25.0,150,13.0,17,10,2,page_1_practice,the
 ,-12.0,150,13.0,17,11,2,page_1_practice,
t,1.0,150,13.0,17,12,2,page_1_practice,tech
e,14.0,150,13.0,17,13,2,page_1_practice,tech
c,27.0,150,13.0,17,14,2,page_1_practice,tech
h,40.0,150,13.0,17,15,2,page_1_practice,tech
 ,53.0,150,13.0,17,16,2,page_1_practice,
w,66.0,150,13.0,17,17,2,page_1_practice,world.
o,79.0,150,13.0,17,18,2,page_1_practice,world.
r,92.0,150,13.0,17,19,2,page_1_practice,world.
l,105.0,150,13.0,17,20,2,page_1_practice,world.
d,118.0,150,13.0,17,21,2,page_1_practice,world.
.,131.0,150,13.0,17,22,2,page_1_practice,world.
I,-155.0,219,13.0,21,0,0,page_1_practice,It
t,-142.0,219,13.0,21,1,0,page_1_practice,It
 ,-129.0,219,13.0,21,2,0,page_1_practice,
a,-116.0,219,13.0,21,3,0,page_1_practice,also
l,-103.0,219,13.0,21,4,0,page_1_practice,also
s,-90.0,219,13.0,21,5,0,page_1_practice,also
o,-77.0,219,13.0,21,6,0,page_1_practice,also
 ,-64.0,219,13.0,21,7,0,page_1_practice,
s,-51.0,219,13.0,21,8,0,page_1_practice,showcases
h,-38.0,219,13.0,21,9,0,page_1_practice,showcases
o,-25.0,219,13.0,21,10,0,page_1_practice,showcases
w,-12.0,219,13.0,21,11,0,page_1_practice,showcases
c,1.0,219,13.0,21,12,0,page_1_practice,showcases
a,14.0,219,13.0,21,13,0,page_1_practice,showcases
s,27.0,219,13.0,21,14,0,page_1_practice,showcases
e,40.0,219,13.0,21,15,0,page_1_practice,showcases
s,53.0,219,13.0,21,16,0,page_1_practice,showcases
 ,66.0,219,13.0,21,17,0,page_1_practice,
t,79.0,219,13.0,21,18,0,page_1_practice,the
